scheduleId,initialized,revocable,revoked,beneficiary,cliff,start,duration,slicePeriodSeconds,amountTotal,immediatelyReleasableAmount,released,staked,withdrawn,left,rewardsPaid
0xd77b6b3a89209725e1bd58bb40c39ba3e03d56bc2e90d93886e5618665b9465e,true,true,false,0xa679c6154b8d4619Af9F83f0bF9a13A680e01eCf,1652630400,1644854400,62208000,1,50000000000000000000000000,5000000000000000000000000,5000000000000000000000000,0,0,0,0
0x7e453533e8d6dfc294d493bff1bbe4dd2c62444d4be91832145e6c81eec7563f,true,true,false,0x46DD9c61E60f3a97B22f10aC586ad4571D6da2ed,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,4544422536375661375661375,250000000000000000000000,0,250000000000000000000000,37780677640773234000000
0x9acf530eb3ba1912b60d0757515ca6d6315ac0086bee70035cf86fe1091d69da,true,true,false,0xF9fe05eA33742FA32caFb347920b7d53277A73DD,1652630400,1644854400,62208000,1,10000000000000000000000000,1000000000000000000000000,1000000000000000000000000,0,0,0,0
0x1de1fecbf79d946c637d7f2012192cb9487f16b265e6d5b9053a1d4f758cf57c,true,true,false,0x030dADcB94828F8D07c6a359C605C8ea12f85DD4,1652630400,1644854400,62208000,1,33333400000000000000000000,3333340000000000000000000,3333340000000000000000000,0,0,0,0
0x6a9fb45c67e6ff8c8fb6d1435841f10d2586e374c30433e4ac9b9b21e109a89c,true,true,false,0x9f72Ea7Ebfb8BC405634CDCD4A30007EC331E34a,1652630400,1644854400,62208000,1,33333300000000000000000000,3333330000000000000000000,3333330000000000000000000,0,0,0,0
0x3ff4c132f79752f495a3d4564347a79bb28efbe6edfb43b84bf17276790f2253,true,true,false,0x510a7cD4ba40F7b6643F566A5D45Ea55F5cd8d0E,1652630400,1644854400,62208000,1,10000000000000000000000000,1000000000000000000000000,3888200231481481481481481,2015296000000000000000000,2015296000000000000000000,0,256784038079303456726673
0x2c814805ad6a4635a88a3b53109a3d539d0fea8188015df2f5440816c5aa03e0,true,true,false,0x64046f01695998f1902C3530249776D7bb531880,1652630400,1644854400,62208000,1,12500000000000000000000000,1250000000000000000000000,1250000000000000000000000,0,0,0,0
0xcd88f8359812376991d94f71c94ba2cba27267b8eaf1c4729331d0651804b32c,true,true,false,0x6C4F54dfc0a6245201969150524D58Db57A87BCA,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,3248661541005291005291005,2504507500000000000000000,2504507500000000000000000,0,258801783234515403372545
0x7a917984be40f9b840ea36e72b39eb104f11e20abfa322a5428082803ac70f3a,true,true,false,0x6633A4A14209d40694Db630C251d1E8036663C5C,1652630400,1644854400,62208000,1,30000000000000000000000000,3000000000000000000000000,3000000000000000000000000,0,0,0,0
0xc0c703bcfd3f82682aa0ac1cbbd4feb48ba5ce6fee447c020e3b4f5050bd0d19,true,true,false,0xFEa2133278A3b35Ad142F91b15B45501B5089FA6,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,0,0,0,0,0
0x97aa18481ec89eaf1add2306b328e2aabd4860434d5fa725f2e7e6ce862b69ec,true,true,false,0x0d3283ac30eE8B96A177f3Fc13662D5DE4465fa2,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,2500000000000000000000000,0,0,0,0
0x1fbaaf440a8edf8cfd086166bb5f7dfe584cd769bff238edbe19309ee1f02565,true,true,false,0x511E3D32A4fc0E6CF736b6E92c2a546a86964709,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,2500000000000000000000000,0,0,0,0
0x84824042e37b8a6a1a0dd394d8246383d9f55e3d379e44e5512a1ec0621a574e,true,true,false,0x719fB05acf4a131642DC4eea846b4Eb1893d2220,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,2500000000000000000000000,2500005000000000000000000,2500005000000000000000000,0,297528119941480642861740
0xd589bf9ef405c8422c3e4699b0cea20ea1f50ce15e024b081043d2c1430ce3b0,true,true,false,0xf0D6999725115E3EAd3D927Eb3329D63AFAEC09b,1652630400,1644854400,62208000,1,5000000000000000000000000,500000000000000000000000,500000000000000000000000,0,0,0,0
0x15814fe9f7d1ce3a0ef09362550c42f99500390abcb47dc192eb36b9fa45f3a1,true,true,false,0x8E17150Cf9387e205941dE811738d01059e61a07,1652630400,1644854400,62208000,1,3500000000000000000000000,350000000000000000000000,350000000000000000000000,0,0,0,0
0x6b81fa490e03f5f82a5d303002cb711562bce210b95c85bd3a3cc312a5c26108,true,true,false,0x0f7f6b822347e734774CcB30F43A676652EC7acE,1652630400,1644854400,62208000,1,5000000000000000000000000,500000000000000000000000,500000000000000000000000,500005000000000000000000,500005000000000000000000,0,132974925439138505314735
0x3f3ec25ef8f7ea5ddc126cc1425d7c23f5a22681ba0bdf3095f8fc18b4c8ba2a,true,true,false,0x53CEDE3a828C638D27957B56Df1B17C960589677,1652630400,1644854400,62208000,1,10000000000000000000000000,1000000000000000000000000,0,0,0,0,0
0xf89c48ce0cccaf624cc4eb5f181cbc60cdfe8dd4e2cf9fadaf53b5a76cfed18f,true,true,false,0xF5d385cB9c5EBcb740B4305E86d8d03e5C67FBb8,1652630400,1644854400,62208000,1,2500000000000000000000000,250000000000000000000000,0,0,0,0,0
0xea278729e20553f1057f8e3931f50e6a2999826956ba82d63b8438b54ebf3947,true,true,false,0x90443f03c77c83289aB2172699A6505A0F01c292,1652630400,1644854400,62208000,1,2500000000000000000000000,250000000000000000000000,0,0,0,0,0
0x197e7841e463973164540cd107e8d5e9ed19cf9c1cc96b96eb02a9feeb5554ce,true,true,false,0x1d2Ba207175Ed27eB8831083F28307f55a57BF47,1652630400,1644854400,62208000,1,25000000000000000000000000,2500000000000000000000000,0,0,0,0,0
